TimeStamp, Model Name, Event Details, CPU Usage(%), RAM(%)
2022-10-21 12:17:22, Head Pose, Head Turned Right, 46.625, 89.3
2022-10-21 12:17:23, Head Pose, Head Turned Right, 46.625, 89.3
2022-10-21 12:17:50, Head Pose, Head Turned Right, 43.5, 89.8
2022-10-21 12:17:50, Head Pose, Head Turned Right, 43.5, 89.8
2022-10-21 12:17:51, Head Pose, Head Turned Right, 43.5, 89.7
2022-10-21 12:17:51, Object Detection, Mobile Phone detected, 40.0, 89.7
2022-10-21 12:17:52, Head Pose, Head Turned Right, 40.0, 89.7
2022-10-21 12:17:52, Head Pose, Head Turned Right, 40.0, 89.7
2022-10-21 12:17:54, Head Pose, Head Turned Right, 40.0, 89.7
2022-10-21 12:17:54, Head Pose, Head Turned Right, 40.0, 89.7
2022-10-21 12:17:55, Head Pose, Head Turned Right, 40.0, 89.8
2022-10-21 12:17:55, Head Pose, Head Turned Right, 40.0, 89.8
2022-10-21 12:17:56, Head Pose, Head Turned Right, 40.0, 89.8
2022-10-21 12:17:56, Head Pose, Head Turned Right, 37.875, 89.8
2022-10-21 12:18:20, Head Pose, Head Turned left, 37.5, 89.3
2022-10-21 12:18:21, Head Pose, Head Turned left, 37.5, 89.3
2022-10-21 12:18:21, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:22, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:23, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:23, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:24, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:24, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:25, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:25, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:26, Head Pose, Head Turned left, 42.5, 89.3
2022-10-21 12:18:26, Head Pose, Head Turned left, 49.125, 89.3
2022-10-21 12:18:27, Head Pose, Head Turned left, 49.125, 89.3
2022-10-21 12:18:28, Head Pose, Head Turned left, 49.125, 89.4
2022-10-21 12:18:29, Head Pose, Head Turned left, 49.125, 89.4
2022-10-21 12:18:33, Head Pose, Head Turned left, 53.125, 89.4
2022-10-21 12:18:34, Head Pose, Head Turned left, 53.125, 89.4
2022-10-21 12:18:49, Head Pose, Head Turned left, 57.375, 89.3
2022-10-21 12:18:50, Head Pose, Head Turned left, 57.375, 89.3
2022-10-21 12:18:53, Head Pose, Head Turned Right, 60.75000000000001, 89.3
2022-10-21 12:18:54, Head Pose, Head Turned Right, 60.75000000000001, 89.3
2022-10-21 12:18:55, Head Pose, Head Turned Right, 60.75000000000001, 89.3
2022-10-21 12:18:55, Head Pose, Head Turned left, 60.75000000000001, 89.4
2022-10-21 12:18:56, Head Pose, Head Turned left, 60.75000000000001, 89.4
2022-10-21 12:18:56, Head Pose, Head Turned left, 55.875, 89.4
2022-10-21 12:18:57, Head Pose, Head Turned left, 55.875, 89.4
2022-10-21 12:18:58, Head Pose, Head Turned left, 55.875, 89.9
2022-10-21 12:18:58, Head Pose, Head Turned left, 55.875, 90.5
2022-10-21 12:18:59, Head Pose, Head Turned left, 55.875, 91.0
2022-10-21 12:19:00, Head Pose, Head Turned left, 55.875, 90.7
2022-10-21 12:19:33, Head Pose, Head Turned Right, 46.375, 89.5
2022-10-21 12:19:33, Head Pose, Head Turned Right, 46.375, 89.5
2022-10-21 12:19:34, Head Pose, Head Turned Right, 46.375, 89.6
2022-10-21 12:19:34, Head Pose, Head Turned Right, 46.375, 89.6
2022-10-21 12:19:35, Head Pose, Head Turned Right, 46.375, 89.6
2022-10-21 12:19:35, Head Pose, Head Turned Right, 46.375, 89.6
2022-10-21 12:19:36, Head Pose, Head Turned Right, 46.375, 89.6
2022-10-21 12:19:36, Head Pose, Head Turned Right, 44.625, 89.6
2022-10-21 12:19:37, Head Pose, Head Turned Right, 44.625, 89.6
2022-10-21 12:19:41, Head Pose, Head Turned left, 44.625, 89.6
2022-10-21 12:19:42, Head Pose, Head Turned left, 55.125, 89.7
2022-10-21 12:19:42, Head Pose, Head Turned left, 55.125, 89.8
2022-10-21 12:19:49, Eye Tracking, Eyes Looking up, 58.62500000000001, 89.8
2022-10-21 12:20:03, Head Pose, Head Turned left, 53.5, 90.1
2022-10-21 12:20:04, Head Pose, Head Turned left, 53.5, 90.1
2022-10-21 12:20:04, Head Pose, Head Turned left, 53.5, 90.1
2022-10-21 12:20:07, Mouth Opening Detection, Mouth Opened, 50.125, 90.1
2022-10-21 12:20:08, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:08, Mouth Opening Detection, Mouth Opened, 50.125, 90.1
2022-10-21 12:20:08, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:09, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:09, Mouth Opening Detection, Mouth Opened, 50.125, 90.1
2022-10-21 12:20:09, Head Pose, Head Turned left, 50.125, 90.1
2022-10-21 12:20:09, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:10, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:10, Face Detection, 2 faces detected, 50.125, 90.1
2022-10-21 12:20:10, Head Pose, Head Turned Right, 50.125, 90.1
2022-10-21 12:20:10, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:11, Head Pose, Head Turned left, 50.125, 90.1
2022-10-21 12:20:11, Object Detection, More than one person detected, 50.125, 90.1
2022-10-21 12:20:11, Face Detection, 2 faces detected, 50.125, 90.1
2022-10-21 12:20:11, Head Pose, Head Turned left, 50.125, 90.1
2022-10-21 12:20:12, Object Detection, More than one person detected, 57.125, 90.1
2022-10-21 12:20:12, Face Detection, 2 faces detected, 57.125, 90.1
2022-10-21 12:20:12, Object Detection, More than one person detected, 57.125, 90.1
2022-10-21 12:20:12, Face Detection, 2 faces detected, 57.125, 90.1
2022-10-21 12:20:12, Head Pose, Head Turned left, 57.125, 90.1
2022-10-21 12:20:12, Head Pose, Head Turned Right, 57.125, 90.1
2022-10-21 12:20:13, Object Detection, More than one person detected, 57.125, 90.1
2022-10-21 12:20:13, Head Pose, Head Turned left, 57.125, 90.1
2022-10-21 12:20:15, Object Detection, No person detected, 57.125, 90.1
2022-10-21 12:20:15, Object Detection, No person detected, 57.125, 90.1
2022-10-21 12:20:16, Object Detection, No person detected, 57.125, 90.1
2022-10-21 12:20:16, Object Detection, No person detected, 60.62499999999999, 90.1
2022-10-21 12:20:17, Object Detection, No person detected, 60.62499999999999, 90.1
2022-10-21 12:20:17, Object Detection, No person detected, 60.62499999999999, 90.1
2022-10-21 12:20:19, Head Pose, Head Turned left, 60.62499999999999, 90.1
2022-10-21 12:20:20, Head Pose, Head Turned left, 60.62499999999999, 90.1
2022-10-21 12:20:21, Head Pose, Head Turned Right, 60.62499999999999, 90.1
2022-10-21 12:20:21, Head Pose, Head Turned Right, 56.75, 90.1
2022-10-21 12:20:22, Head Pose, Head Turned Right, 56.75, 90.1
2022-10-21 12:20:22, Head Pose, Head Turned Right, 56.75, 90.1
2022-10-21 12:20:23, Head Pose, Head Turned Right, 56.75, 90.1
2022-10-21 12:20:23, Head Pose, Head Turned Right, 56.75, 89.5
2022-10-21 12:20:24, Head Pose, Head Turned Right, 56.75, 89.5
2022-10-21 12:20:24, Head Pose, Head Turned Right, 56.75, 89.5
2022-10-21 12:20:25, Head Pose, Head Turned Right, 56.75, 89.5
